city1,city2,globe,bipolar,pct_err
Cape Town,Lima,9757,14924,53.0
Accra,Nairobi,4181,6250,49.5
Accra,Lima,8718,12991,49.0
Singapore,Nairobi,7455,11059,48.3
Johannesburg,Lima,10878,15937,46.5
Nairobi,Perth,8899,13029,46.4
Nairobi,São Paulo,9283,13466,45.1
Singapore,Johannesburg,8659,12545,44.9
Nairobi,Buenos Aires,10402,15015,44.4
Singapore,Auckland,8417,12150,44.4
Singapore,Cape Town,9667,13901,43.8
Nairobi,Lima,12565,18048,43.6
Quito,Cape Town,10632,15207,43.0
Quito,Auckland,11480,16275,41.8
Nairobi,Santiago,11540,16302,41.3
Accra,Santiago,8570,12106,41.3
Accra,São Paulo,5989,8449,41.1
Accra,Quito,8713,12277,40.9
Quito,São Paulo,4307,6046,40.4
Singapore,Sydney,6306,8837,40.1
