star,city,lat,astropy_alt,formula_pred,delta,layer_height_km
Sirius,Chapel_Hill_NC,35.91,28.512,28.393,0.119,6525.0
Betelgeuse,Chapel_Hill_NC,35.91,39.323,39.054,0.27,6537.6
Vega,London_UK,51.51,43.823,43.946,-0.123,6485.6
Vega,Cape_Town_ZA,-33.93,5.309,5.426,-0.116,6361.3
Vega,Nairobi_KE,-1.29,42.143,42.264,-0.121,6484.8
Arcturus,Chapel_Hill_NC,35.91,19.658,19.975,-0.317,6400.9
Arcturus,London_UK,51.51,57.546,57.672,-0.126,6490.9
Arcturus,Cape_Town_ZA,-33.93,34.194,33.98,0.214,6535.9
Arcturus,Nairobi_KE,-1.29,48.547,48.225,0.321,6532.5
Canopus,Sydney_AU,-33.87,25.908,25.985,-0.076,6482.2
Antares,London_UK,51.51,6.564,6.744,-0.179,6327.8
Antares,Cape_Town_ZA,-33.93,74.968,75.237,-0.269,6491.9
Antares,Nairobi_KE,-1.29,64.607,64.613,-0.006,6499.7
Regulus,Chapel_Hill_NC,35.91,61.296,61.584,-0.288,6482.3
Regulus,London_UK,51.51,26.756,26.644,0.112,6525.2
Polaris,Chapel_Hill_NC,35.91,35.919,35.815,0.105,6516.4
Polaris,London_UK,51.51,50.903,50.776,0.127,6511.8
Aldebaran,Chapel_Hill_NC,35.91,29.055,28.721,0.334,6569.1
Aldebaran,Sydney_AU,-33.87,10.984,11.293,-0.31,6324.1
Rigel,Chapel_Hill_NC,35.91,21.268,21.022,0.246,6572.6
Rigel,Sydney_AU,-33.87,18.177,18.455,-0.278,6405.3
