station,lat,g_measured_sl,g_wgs84,g_aetheric,delta_wgs84_mGal,delta_aetheric_mGal
Amundsen-Scott SP,-90.0,10.70538,9.83218,10.00846,873.2,696.92
"Alert, Canada",82.5,9.84214,9.8313,10.00885,10.84,-166.71
Reykjavik,64.15,9.83254,9.82229,10.0128,10.25,-180.26
London,51.51,9.81529,9.81204,10.0173,3.25,-202.02
Chapel Hill NC,35.91,9.84652,9.79811,10.02344,48.4,-176.92
Singapore,1.35,9.78572,9.78035,10.03129,5.37,-245.57
"Quito, Ecuador",-0.18,10.6508,9.78033,10.0313,870.47,619.5
Nairobi,-1.29,10.32926,9.78035,10.03129,548.91,297.97
Sydney,-33.87,9.81446,9.79638,10.0242,18.08,-209.74
Cape Town,-33.93,9.80965,9.79643,10.02418,13.22,-214.53
Buenos Aires,-34.6,9.8049,9.797,10.02393,7.9,-219.03
